Date,Time,Water Level,Temp,Barometric pressure,Compensated Pressure,Casing temperature,Min voltage,EXT POWER / SOLAR
YYYY/MM/DD,hh:mm:ss,m,C,mh2o,mH2O,C,V,V
DATE,TIME,P1,P2,P3,P4,P5,P6,P7
25/09/2024,0:15:00,13.599,31414.99,31395.36,28.673,3.318,10.281,20
25/09/2024,0:30:00,13.6,30987.75,30964.87,28.906,3.321,10.279,20
25/09/2024,0:45:00,13.6,30351.1,30328.69,28.906,3.322,10.279,19.9
25/09/2024,1:00:00,13.6,30819.11,30796.35,28.906,3.323,10.277,19.8
25/09/2024,1:15:00,13.599,30680.76,30661.59,28.673,3.323,10.277,19.6
25/09/2024,1:30:00,13.597,29951.23,29932.45,28.677,3.323,10.274,19.5
25/09/2024,1:45:00,13.598,31210.2,31187.02,28.914,3.323,10.275,19.3
25/09/2024,2:00:00,13.595,30516.17,30497.11,28.673,3.321,10.273,19.2
25/09/2024,2:15:00,13.595,30459.93,30437.44,28.906,3.32,10.275,19.1
25/09/2024,2:30:00,13.598,29278.85,29257.23,28.906,3.322,10.276,19
25/09/2024,2:45:00,13.597,29582.7,29564.03,28.686,3.322,10.275,18.9
25/09/2024,3:00:00,13.595,29947.25,29925.06,28.91,3.321,10.274,18.8
