Date,Time,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
YYYY/MM/DD,hh:mm:ss,,,,,,,,,,,,,,,
DATE,TIME,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
2024/09/24,06:15:00,12.682,30.45,10.309,2.373,20.4,3.26,4.167,,,,,,,,
2024/09/24,06:30:00,12.682,30.45,10.306999999999999,2.375,20.5,3.28,17.267,,,,,,,,
2024/09/24,06:45:00,12.684000000000001,30.45,10.309,2.374,20.7,3.28,18.422,,,,,,,,
2024/09/24,07:00:00,12.684000000000001,30.45,10.311,2.373,20.9,3.28,19.046,,,,,,,,
2024/09/24,07:15:00,12.685,30.45,10.311,2.374,21.2,3.28,19.037,,,,,,,,
2024/09/24,07:30:00,12.687000000000001,30.45,10.313,2.374,21.7,3.28,19.072,,,,,,,,
2024/09/24,07:45:00,12.689000000000002,30.4,10.313,2.375,22.4,3.28,19.054,,,,,,,,
2024/09/24,08:00:00,12.689000000000002,30.45,10.313,2.375,23.299999999999997,3.2899999999999996,19.081999999999997,,,,,,,,
2024/09/24,08:15:00,12.690000000000001,30.45,10.314,2.377,24.299999999999997,3.2899999999999996,19.103999999999996,,,,,,,,
2024/09/24,08:30:00,12.690000000000001,30.4,10.316,2.3739999999999997,25.699999999999996,3.3199999999999994,19.104999999999997,,,,,,,,
2024/09/24,08:45:00,12.692000000000002,30.4,10.317,2.3749999999999996,27.399999999999995,3.329999999999999,19.107999999999997,,,,,,,,
2024/09/24,09:00:00,,,,,,,,,,,,,,,
