DateTime,Water_Level,Temp,Barometric_pressure,Compensated_Pressure,Casing_temperature,Min_voltage,EXT_POWER_/_SOLAR
2024-09-25 00:15:00,13.599,31414.99,31395.36,28.673,3.318,10.281,20.0
2024-09-25 00:30:00,13.6,30987.75,30964.87,28.906,3.321,10.279,20.0
2024-09-25 00:45:00,13.6,30351.1,30328.69,28.906,3.322,10.279,19.9
2024-09-25 01:00:00,13.6,30819.11,30796.35,28.906,3.323,10.277,19.8
2024-09-25 01:15:00,13.599,30680.76,30661.59,28.673,3.323,10.277,19.6
2024-09-25 01:30:00,13.597,29951.23,29932.45,28.677,3.323,10.274,19.5
2024-09-25 01:45:00,13.598,31210.2,31187.02,28.914,3.323,10.275,19.3
2024-09-25 02:00:00,13.595,30516.17,30497.11,28.673,3.321,10.273,19.2
2024-09-25 02:15:00,13.595,30459.93,30437.44,28.906,3.32,10.275,19.1
2024-09-25 02:30:00,13.598,29278.85,29257.23,28.906,3.322,10.276,19.0
2024-09-25 02:45:00,13.597,29582.7,29564.03,28.686,3.322,10.275,18.9
2024-09-25 03:00:00,13.595,29947.25,29925.06,28.91,3.321,10.274,18.8
