DateTime,P01,P02,P03,P04,P05,P06,P07
2024-09-24 06:15:00,12.682,30.45,10.309,2.373,20.4,3.26,4.167
2024-09-24 06:30:00,12.682,30.45,10.307,2.375,20.5,3.28,17.267
2024-09-24 06:45:00,12.684,30.45,10.309,2.374,20.7,3.28,18.422
2024-09-24 07:00:00,12.684,30.45,10.311,2.373,20.9,3.28,19.046
2024-09-24 07:15:00,12.685,30.45,10.311,2.374,21.2,3.28,19.037
2024-09-24 07:30:00,12.687,30.45,10.313,2.374,21.7,3.28,19.072
2024-09-24 07:45:00,12.689000000000002,30.4,10.313,2.375,22.4,3.28,19.054
2024-09-24 08:00:00,12.689000000000002,30.45,10.313,2.375,23.3,3.29,19.082
2024-09-24 08:15:00,12.69,30.45,10.314,2.377,24.3,3.29,19.104
2024-09-24 08:30:00,12.69,30.4,10.316,2.374,25.7,3.3199999999999994,19.105
2024-09-24 08:45:00,12.692000000000002,30.4,10.317,2.375,27.399999999999995,3.329999999999999,19.108
2024-09-24 09:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
