DateTime,P1,P2,P3,P4,P5,P6,P7,P01,P02,P03,P04,P05,P06,P07
2024-09-25 00:15:00,13.599,31414.99,31395.36,28.673,3.318,10.281,20.0,,,,,,,
2024-09-25 00:30:00,13.6,30987.75,30964.87,28.906,3.321,10.279,20.0,,,,,,,
2024-09-25 00:45:00,13.6,30351.1,30328.69,28.906,3.322,10.279,19.9,,,,,,,
2024-09-25 01:00:00,13.6,30819.11,30796.35,28.906,3.323,10.277,19.8,,,,,,,
2024-09-25 01:15:00,13.599,30680.76,30661.59,28.673,3.323,10.277,19.6,,,,,,,
2024-09-25 01:30:00,13.597,29951.23,29932.45,28.677,3.323,10.274,19.5,,,,,,,
2024-09-25 01:45:00,13.598,31210.2,31187.02,28.914,3.323,10.275,19.3,,,,,,,
2024-09-25 02:00:00,13.595,30516.17,30497.11,28.673,3.321,10.273,19.2,,,,,,,
2024-09-25 02:15:00,13.595,30459.93,30437.44,28.906,3.32,10.275,19.1,,,,,,,
2024-09-25 02:30:00,13.598,29278.85,29257.23,28.906,3.322,10.276,19.0,,,,,,,
2024-09-25 02:45:00,13.597,29582.7,29564.03,28.686,3.322,10.275,18.9,,,,,,,
2024-09-25 03:00:00,13.595,29947.25,29925.06,28.91,3.321,10.274,18.8,,,,,,,
2024-09-24 05:45:00,,,,,,,,12.679,30.45,10.305,2.374,19.7,3.3,4.109
2024-09-24 06:00:00,,,,,,,,12.68,30.45,10.306,2.375,20.1,3.3,4.058
2024-09-24 06:15:00,,,,,,,,12.682,30.45,10.309,2.373,20.4,3.26,4.167
2024-09-24 06:30:00,,,,,,,,12.682,30.45,10.307,2.375,20.5,3.28,17.267
2024-09-24 06:45:00,,,,,,,,12.684,30.45,10.309,2.374,20.7,3.28,18.422
2024-09-24 07:00:00,,,,,,,,12.684,30.45,10.311,2.373,20.9,3.28,19.046
2024-09-24 07:15:00,,,,,,,,12.685,30.45,10.311,2.374,21.2,3.28,19.037
2024-09-24 07:30:00,,,,,,,,12.687,30.45,10.313,2.374,21.7,3.28,19.072
2024-09-24 07:45:00,,,,,,,,12.689000000000002,30.4,10.313,2.375,22.4,3.28,19.054
2024-09-24 08:00:00,,,,,,,,12.689000000000002,30.45,10.313,2.375,23.3,3.29,19.082
2024-09-24 08:15:00,,,,,,,,12.69,30.45,10.314,2.377,24.3,3.29,19.104
2024-09-24 08:30:00,,,,,,,,12.69,30.4,10.316,2.374,25.7,3.3199999999999994,19.105
2024-09-24 08:45:00,,,,,,,,12.692000000000002,30.4,10.317,2.375,27.399999999999995,3.329999999999999,19.108
2024-09-24 09:00:00,,,,,,,,,,,,,,
2024-09-24 09:00:00,,,,,,,,12.692,30.45,10.314,2.377,29.2,3.34,19.108
2024-09-24 09:15:00,,,,,,,,12.692,30.45,10.317,2.375,30.8,3.34,19.113
2024-09-24 09:30:00,,,,,,,,12.692,30.45,10.316,2.375,32.3,3.34,19.114
2024-09-24 09:45:00,,,,,,,,12.692,30.45,10.314,2.377,33.5,3.34,19.109
